,title,genre,synopsis,producer,studio,rating,scoredby,members,source,aired
715,Macross 7,"Action, Military, Sci-Fi, Adventure, Music, Comedy, Drama, Romance, Mecha, Shounen","35 years have passed since Lynn Minmay had brought peace between the Zentradi and the humans in the events of Macross. Nekki Basara is a guitarist and a singer of the band Fire Bomber. Living in a less-developed part of the flying colony City 7 which is looking for a habitable planet, he composes and sings songs in the belief that music holds a greater power. 
 
During its flight, an unknown alien race appeared and started laying siege upon City 7. However, its attacks are not conventional -- instead of trying to destroy them, they steal what is known as ""spiritia"", rendering victims unresponsive and zombie-like. During these battles, Basara always goes out into the middle of the warzone, singing his songs and expecting friend and foe to listen and be moved by his music. 
 
(Source: ANN)","Mainichi Broadcasting System, Studio Nue",Production Reed,7.22,7365,18795,Original,"Oct 16, 1994 to Sep 24, 1995"
716,Macross Dynamite 7,"Adventure, Comedy, Mecha, Sci-Fi, Shounen"," Less than a year after the events that transpired in the Macross 7 TV series, Basara leaves Fire Bomber and travels to the planet Zola. There, he meets a girl named Elma, who is a big fan of Fire Bomber. It is also on this planet where he must once again use his Spiritia powers; this time, to stop an army of poachers and Elma's father Graham from killing a group of space whales travelling within the planetary system.","Mainichi Broadcasting System, Studio Nue",Production Reed,6.92,3647,8655,Original,"Dec 18, 1997 to Aug 25, 1998"
717,Macross 7 Encore,"Action, Comedy, Drama, Mecha, Music, Sci-Fi, Shounen","Three unbroadcasted episodes of the Macross 7 series. In ""Fleet of the Strongest Women,"" the Macross 7 fleet encounters a rogue Meltrandi fleet led by an old rival of Millia. ""On Stage"" focuses on Ray's past as a fighter pilot, how he first met Basara, and how they formed Fire Bomber. In ""Which One Do You Love,"" when Millia falls ill, she feels her life expectancy is running short and attempts to have Mylene engaged to Basara. 
 
(Source: ANN)","Bandai Visual, Mainichi Broadcasting System, Studio Nue",Production Reed,7.04,3087,6472,Unknown,"Dec 18, 1995 to Feb 25, 1996"
718,Macross 7 Movie Ginga ga Ore wo Yondeiru!,"Action, Sci-Fi, Adventure, Music, Comedy, Drama, Mecha, Shounen","While investigating a sound anomaly across the galaxy, Basara crash-lands on a snowy planet and receives an unfriendly welcome from the local residents. On the planet, he befriends Pedro, a four-year-old boy who watches the Galaxy Network and idolizes Fire Bomber. Basara also discovers that the sound he's searching for is generated by Emilia, a lone Meltrandi struggling to make music of her own. 
 
(Source: ANN)","Mainichi Broadcasting System, Studio Nue",Production Reed,7.01,2934,6191,Original,"Sep 30, 1995"
719,IGPX Immortal Grand Prix,"Sports, Mecha, Sci-Fi, Shounen","In the year 2035, Team Suzaku and Team Sledge Mamma are preparing to meet in the final round of the 12th Immortal Grand-1 Prix (IG1 or IGPX). Takeshi leads Team Suzaku, which is made up of a group of young amateur pilots who must make the most of their limited funds and weaponry in order to prepare for the competition designed for professionals. 
 
This series served as the pilot to the full IGPX: Immortal Grand Prix, each episode is only 5 minutes long or less. A key difference between the two is that this series featured combat mecha competition rather than racing mecha.",Bee Train,Production I.G,6.69,1124,2841,Original,"Sep 15, 2003 to Sep 19, 2003"
720,IGPX Immortal Grand Prix 2005 2nd Season,"Mecha, Sci-Fi, Shounen, Sports","Team Satomi has just been deemed as the winners for the IG-2 lower league and now join the top IG-1 competition. But it's not going to be easy. Young pilots Takeshi, Liz, Amy, and River are going to have to be a team to be number 1, however one thing leads to another with these four. Most important of all, their opponents overwhelm Team Satomi in every aspect, including strategy and skill, as well as funding. One thing is for sure, this is not going to be an easy year for ""Team Satomi.""  
",Bee Train,Production I.G,7.36,4123,7914,Original,"May 20, 2006 to Aug 26, 2006"
721,Lupin III,"Action, Adventure, Comedy, Seinen","Arsène Lupin III is the grandson of world-famous thief Arsène Lupin, and he's living up to his grandfather's memory as a high-profile thief himself. Due to his infamy, Lupin III attracts the attention of the persistent Inspector Zenigata of the ICPO, as well as rival criminals. Lupin III's criminal lifestyle even seeps into his love life. The main woman in Lupin III's world is femme fatale Fujiko Mine, who Lupin III can never tell is working with or against him. Follow Lupin and his gunman partner Daisuke Jigen on their quest to own the world－or at least the valuable bits!","TMS Entertainment, Group TAC",Tokyo Movie Shinsha,7.74,15302,47039,Manga,"Oct 24, 1971 to Mar 26, 1972"
722,Lupin III Alcatraz Connection,"Action, Adventure, Comedy, Seinen","Zenigata arrives on the ship ""Machine Gun Kelly"", a casino on the water owned by the mafia, because Lupin plans on stealing the casino's money. Lupin and his gang manages to break into the ship's vault but was unable to escape with the money due to Zenigata's shooting. However, there was another purpose the ship had, one that Lupin was aware of; to search for a sunken ship filled with gold. Lupin managed to steal this data while he was on the ship, however, now they have to contend with Zenigata, the mafia, and a secret organization whose base is under Alcatraz, as they attempt to uncover the secret behind the organization and the sunken treasure. 
 
(Source: ANN)","VAP, Nippon Television Network",TMS Entertainment,7.22,1645,4124,Manga,"Aug 3, 2001"
723,Lupin III Dead or Alive,"Action, Adventure, Mystery, Comedy, Seinen","Lupin, Goemon, and Jigen take a mini-helicopter and head to the mysterious “Drifting Island” looking for a treasure rumored to be hidden somewhere on it. Through their exploration of the island, the trio encounters the lethal “Nanomachine,” the island’s security system. The trio triggers the alarm, springing “the Nanomachine” to life. The key to solving the island’s mystery lies in the small nation of Zufu. This once prosperous nation is now ruled by the ruthless, knife-collecting, General Headhunter. Fujiko does her usual probing and hacks into General Headhunter’s computer hoping to find some crucial information. Zenigata has received a video message from Lupin in which Lupin announces his desire for the priceless treasure. Oleander, a fiery blond officer with some hidden secrets of her own, steps in to help Zenigata. Armed with their newly found information, Lupin, Goemon, Jigen, and Fujiko go back to “Drifting Island,” but this time they are followed by General Headhunter. 
 
(Source: ANN)","VAP, Tohokushinsha Film Corporation",Tokyo Movie Shinsha,7.28,2481,5634,Manga,"Apr 20, 1996"
724,Lupin III Episode 0 First Contact,"Action, Adventure, Mystery, Comedy, Seinen","Jigen tells the story of the gang's first meeting. Jigen, still a member of the Mafia, is hired to protect an ancient artifact - one that Lupin and Fujiko are both trying to steal. Meanwhile, Inspector Zenigata, then of the Japanese police force, has come to the U.S. on Fujiko's trail, and Ishikawa Goemon is searching for the lost treasure of his clan.  
 
(Source: ANN)",VAP,TMS Entertainment,7.75,2667,5732,Unknown,"Jul 26, 2002"
725,Lupin III Part II,"Action, Adventure, Mystery, Comedy, Seinen","Lupin III chronicles the adventures of Arsene Lupin III, the world's greatest thief, and his partners in crime: master marksman Daisuke Jigen, beautiful and scheming Fujiko Mine and stoic samurai Goemon Ishikawa XIII. Lupin and his gang travel around the globe in search of the world's greatest treasures and riches and always keeping one step ahead of the tireless Inspector Zenigata, who has vowed to bring Lupin to justice.  
 
(Source: ANN)","VAP, Animax, Studio Jack",Tokyo Movie Shinsha,7.9,4736,14878,Manga,"Oct 3, 1977 to Oct 6, 1980"
726,Lupin III Ikiteita Majutsushi,"Action, Adventure, Mystery, Comedy, Seinen","Lupin steals an extraordinary gem from a Mediterranean party, only to be interrupted by Pycal, the trickster ""magician"" who had apparently died fighting Lupin early in his career. Pycal, now armed with real magical abilities, is determined to take revenge.  
 
(Source: ANN)","VAP, Tohokushinsha Film Corporation",TMS Entertainment,6.2,1342,3261,Unknown,"Apr 3, 2002"
727,Lupin III Honoo no Kioku - Tokyo Crisis,"Action, Adventure, Comedy, Mystery, Shounen","Lupin & co. attempt to steal two face plates from millionare Michael Sizuki, thinking that they will lead to an ancient treasure when brought together. However, it soon becomes apparent that there is more behind the plates then meets the eye.  
 
(Source: ANN)","VAP, TMS Entertainment, Tohokushinsha Film Corporation",Tokyo Movie Shinsha,7.3,1664,3935,Unknown,"Jul 24, 1998"
728,Alexander Senki,"Action, Adventure, Fantasy, Historical, Sci-Fi, Supernatural","In 356 BC, Alexander the Great arrives in Greece with the ominous destiny that he will become the ""destroyer of the world."" Inheriting the crown, he becomes king of the Macedonians and starts down a road of conquest with terrific speed. Alexander ultimately confronts his fated nemesis, Darius the Third, in a war with Persia which changes Alexander into the devil he was fated to become, assuring the destruction of all in his path, and possibly himself. 
 
(Source: TBS Global Business)","Kadokawa Shoten, TBS",Madhouse,5.8,2145,4827,Unknown,"Sep 15, 1999 to Sep 18, 1999"
729,Sol Bianca,"Action, Sci-Fi, Adventure, Space","Five female pirates pilot the Sol Bianca, a starship with a higher level of technology than any other known. With it, they seek out riches, such as the Gnosis, an legendary item of power, and pasha, the most valuable mineral in the galaxy. Along the way, they must consider a stowaway's quest to save the one he loves, and seek revenge against those that have wronged them.  
 
(Source: ANN) ","Half H.P Studio, NEC Avenue",AIC,6.45,1336,3416,Original,"Mar 21, 1990 to Jul 21, 1991"
730,Brigadoon Marin to Melan,"Adventure, Comedy, Drama, Mecha, Sci-Fi","Marin is a typical junior high school girl with a sunny disposition and a loving adoptive family. Her life takes a drastic change when a mysterious mirage is seen in the sky above the entire earth. Killer androids called Monomakia descend to earth from the formation in the sky called Brigadoon and begin to hunt down little Marin. She discovers a blue bottle in a shrine as she seeks escape and from the bottle comes a protector, a sword carrying gun slinging alien called Melan Blue, together they must save the earth and deal with family crisis, school prejudice and the police and come to an understanding of Marins past and Melans unexplained mission, as well as learn to trust each other. Set in 1969 Japan with a colorful cast of friends and enemies. 
 
(Source: ANN)",Bandai Visual,Sunrise,7.39,1792,7641,Original,"Jul 21, 2000 to Feb 9, 2001"
